"","date","Station","Elev","Temp","MxTp","MnTp","DewP","RH","Spd","Dir","Gst","Pcp1","Pcp24","PcpAc","Sno24","SWE24","SnoHt","SWE"
"1",2021-10-01,"Badger Pass",6900,44,55,36,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"2",2021-10-02,"Badger Pass",6900,38,53,38,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"3",2021-10-03,"Badger Pass",6900,47,52,38,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"4",2021-10-04,"Badger Pass",6900,49,58,46,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"5",2021-10-05,"Badger Pass",6900,51,66,48,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"6",2021-10-06,"Badger Pass",6900,51,65,51,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"7",2021-10-07,"Badger Pass",6900,36,54,35,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"8",2021-10-08,"Badger Pass",6900,34,44,32,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"9",2021-10-09,"Badger Pass",6900,34,50,34,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"10",2021-10-10,"Badger Pass",6900,35,44,33,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"11",2021-10-11,"Badger Pass",6900,25,37,24,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"12",2021-10-12,"Badger Pass",6900,22,28,21,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"13",2021-10-13,"Badger Pass",6900,22,36,21,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"14",2021-10-14,"Badger Pass",6900,26,29,22,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"15",2021-10-15,"Badger Pass",6900,30,30,25,NA,NA,NA,NA,NA,0,NA,NA,0,0.1,0,0.1
"16",2021-10-16,"Badger Pass",6900,39,39,30,NA,NA,NA,NA,NA,0,NA,NA,0,0.1,0,0.2
"17",2021-10-17,"Badger Pass",6900,44,52,39,NA,NA,NA,NA,NA,0,NA,NA,0,-0.2,0,0
"18",2021-10-18,"Badger Pass",6900,44,60,41,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"19",2021-10-19,"Badger Pass",6900,31,50,31,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"20",2021-10-20,"Badger Pass",6900,34,49,30,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"21",2021-10-21,"Badger Pass",6900,34,50,34,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"22",2021-10-22,"Badger Pass",6900,43,44,33,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"23",2021-10-23,"Badger Pass",6900,32,55,32,NA,NA,NA,NA,NA,0.1,NA,NA,1,0.2,1,0.2
"24",2021-10-24,"Badger Pass",6900,32,34,32,NA,NA,NA,NA,NA,0,NA,NA,0,0.1,1,0.3
"25",2021-10-25,"Badger Pass",6900,38,42,30,NA,NA,NA,NA,NA,0.1,NA,NA,0,0,1,0.3
"26",2021-10-26,"Badger Pass",6900,32,40,30,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.1,0,0.2
"27",2021-10-27,"Badger Pass",6900,32,33,31,NA,NA,NA,NA,NA,0.1,NA,NA,2,0.3,2,0.5
"28",2021-10-28,"Badger Pass",6900,30,33,30,NA,NA,NA,NA,NA,0,NA,NA,2,0.3,4,0.8
"29",2021-10-29,"Badger Pass",6900,42,43,30,NA,NA,NA,NA,NA,0.2,NA,NA,-4,-0.2,0,0.6
"30",2021-10-30,"Badger Pass",6900,23,42,23,NA,NA,NA,NA,NA,0,NA,NA,0,-0.3,0,0.3
"31",2021-10-31,"Badger Pass",6900,17,24,14,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0.3
"32",2021-11-01,"Badger Pass",6900,14,25,13,NA,NA,NA,NA,NA,0,NA,NA,-1,-0.1,0,0.2
"33",2021-11-02,"Badger Pass",6900,35,44,14,NA,NA,NA,NA,NA,0,NA,NA,0,0.2,0,0.4
"34",2021-11-03,"Badger Pass",6900,36,36,32,NA,NA,NA,NA,NA,0,NA,NA,1,0.1,1,0.5
"35",2021-11-04,"Badger Pass",6900,41,42,35,NA,NA,NA,NA,NA,0,NA,NA,-1,0,0,0.5
"36",2021-11-05,"Badger Pass",6900,32,51,32,NA,NA,NA,NA,NA,0,NA,NA,0,-0.3,0,0.2
"37",2021-11-06,"Badger Pass",6900,32,39,31,NA,NA,NA,NA,NA,0.1,NA,NA,0,0,0,0.2
"38",2021-11-07,"Badger Pass",6900,24,34,24,NA,NA,NA,NA,NA,0,NA,NA,1,0,1,0.2
"39",2021-11-08,"Badger Pass",6900,24,26,21,NA,NA,NA,NA,NA,0.1,NA,NA,0,0.1,1,0.3
"40",2021-11-09,"Badger Pass",6900,25,32,23,NA,NA,NA,NA,NA,0,NA,NA,0,0,1,0.3
"41",2021-11-10,"Badger Pass",6900,23,35,23,NA,NA,NA,NA,NA,0,NA,NA,0,0.1,1,0.4
"42",2021-11-11,"Badger Pass",6900,21,24,19,NA,NA,NA,NA,NA,0.1,NA,NA,5,0.5,6,0.9
"43",2021-11-12,"Badger Pass",6900,35,35,21,NA,NA,NA,NA,NA,0,NA,NA,-1,0.1,5,1
"44",2021-11-13,"Badger Pass",6900,30,40,30,NA,NA,NA,NA,NA,0,NA,NA,-3,0,2,1
"45",2021-11-14,"Badger Pass",6900,37,37,27,NA,NA,NA,NA,NA,0,NA,NA,5,0.6,7,1.6
"46",2021-11-15,"Badger Pass",6900,42,43,37,NA,NA,NA,NA,NA,0,NA,NA,-6,-0.7,1,0.9
"47",2021-11-16,"Badger Pass",6900,19,46,19,NA,NA,NA,NA,NA,0,NA,NA,0,-0.1,1,0.8
"48",2021-11-17,"Badger Pass",6900,11,21,11,NA,NA,NA,NA,NA,0,NA,NA,-1,0.1,0,0.9
"49",2021-11-18,"Badger Pass",6900,26,26,11,NA,NA,NA,NA,NA,0,NA,NA,2,-0.1,2,0.8
"50",2021-11-19,"Badger Pass",6900,30,32,24,NA,NA,NA,NA,NA,0,NA,NA,0,0.3,2,1.1
"51",2021-11-20,"Badger Pass",6900,24,33,24,NA,NA,NA,NA,NA,0,NA,NA,1,0.0999999999999999,3,1.2
"52",2021-11-21,"Badger Pass",6900,23,24,23,NA,NA,NA,NA,NA,0,NA,NA,0,-0.0999999999999999,3,1.1
"53",2021-11-22,"Badger Pass",6900,37,37,23,NA,NA,NA,NA,NA,0,NA,NA,-1,0,2,1.1
"54",2021-11-23,"Badger Pass",6900,30,41,30,NA,NA,NA,NA,NA,0,NA,NA,0,-0.1,2,1
"55",2021-11-24,"Badger Pass",6900,22,30,19,NA,NA,NA,NA,NA,0,NA,NA,4,0.5,6,1.5
"56",2021-11-25,"Badger Pass",6900,26,26,20,NA,NA,NA,NA,NA,0,NA,NA,0,0,6,1.5
"57",2021-11-26,"Badger Pass",6900,29,36,26,NA,NA,NA,NA,NA,0,NA,NA,-2,0.1,4,1.6
"58",2021-11-27,"Badger Pass",6900,30,32,29,NA,NA,NA,NA,NA,0,NA,NA,5,0.6,9,2.2
"59",2021-11-28,"Badger Pass",6900,42,42,30,NA,NA,NA,NA,NA,0,NA,NA,-1,0.2,8,2.4
"60",2021-11-29,"Badger Pass",6900,34,44,34,NA,NA,NA,NA,NA,0,NA,NA,-4,-0.3,4,2.1
"61",2021-11-30,"Badger Pass",6900,34,35,31,NA,NA,NA,NA,NA,0,NA,NA,2,0.1,6,2.2
"62",2021-12-01,"Badger Pass",6900,42,42,32,NA,NA,NA,NA,NA,0.1,NA,NA,NA,-0.2,NA,2
"63",2021-12-02,"Badger Pass",6900,41,45,40,NA,NA,NA,NA,NA,0,NA,NA,NA,-0.5,NA,1.5
"64",2021-12-03,"Badger Pass",6900,27,41,27,NA,NA,NA,NA,NA,0,NA,NA,NA,0.1,3,1.6
"65",2021-12-04,"Badger Pass",6900,24,30,24,NA,NA,NA,NA,NA,0,NA,NA,3,0.2,6,1.8
"66",2021-12-05,"Badger Pass",6900,15,31,15,NA,NA,NA,NA,NA,0,NA,NA,12,1.5,18,3.3
"67",2021-12-06,"Badger Pass",6900,10,17,9,NA,NA,NA,NA,NA,0,NA,NA,-2,0,16,3.3
"68",2021-12-07,"Badger Pass",6900,20,20,10,NA,NA,NA,NA,NA,0,NA,NA,1,0.2,17,3.5
"69",2021-12-08,"Badger Pass",6900,32,32,20,NA,NA,NA,NA,NA,0,NA,NA,-2,0.2,15,3.7
"70",2021-12-09,"Badger Pass",6900,14,32,14,NA,NA,NA,NA,NA,0,NA,NA,5,0.7,20,4.4
"71",2021-12-10,"Badger Pass",6900,14,17,13,NA,NA,NA,NA,NA,0,NA,NA,3,0.399999999999999,23,4.8
"72",2021-12-11,"Badger Pass",6900,23,23,13,NA,NA,NA,NA,NA,0.1,NA,NA,1,0.29,24,5.09
"73",2021-12-12,"Badger Pass",6900,26,28,23,NA,NA,NA,NA,NA,0.1,NA,NA,3,1.01,27,6.1
"74",2021-12-13,"Badger Pass",6900,19,26,19,NA,NA,NA,NA,NA,0,NA,NA,4,0.600000000000001,31,6.7
"75",2021-12-14,"Badger Pass",6900,29,29,18,NA,NA,NA,NA,NA,0,NA,NA,-4,0.0999999999999996,27,6.8
"76",2021-12-15,"Badger Pass",6900,12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,28,6.8
"77",2021-12-16,"Badger Pass",6900,14,17,7,NA,NA,NA,NA,NA,0,NA,NA,-1,0.100000000000001,27,6.9
"78",2021-12-17,"Badger Pass",6900,-6,20,-9,NA,NA,NA,NA,NA,0,NA,NA,4,0.3,31,7.2
"79",2021-12-18,"Badger Pass",6900,14,14,-6,NA,NA,NA,NA,NA,0,NA,NA,-2,0.0999999999999996,29,7.3
"80",2021-12-19,"Badger Pass",6900,25,30,14,NA,NA,NA,NA,NA,0.1,NA,NA,8,1.3,37,8.6
"81",2021-12-20,"Badger Pass",6900,6,25,3,NA,NA,NA,NA,NA,0,NA,NA,-1,0.0899999999999999,36,8.69
"82",2021-12-21,"Badger Pass",6900,19,23,6,NA,NA,NA,NA,NA,0,NA,NA,2,0.41,38,9.1
"83",2021-12-22,"Badger Pass",6900,26,28,19,NA,NA,NA,NA,NA,0,NA,NA,-1,0.300000000000001,37,9.4
